    INFO: 2024-11-15 08:16:27,849:               log.py:   20: Logging to /mnt/WorkingDrive/pdfqns/mdpdf.log
   DEBUG: 2024-11-15 08:16:27,849:               cli.py:  103: formatted_questions.md
    INFO: 2024-11-15 08:16:27,850:         converter.py:   14: formatted_questions.md
   DEBUG: 2024-11-15 08:16:27,854:      pdf_renderer.py:  470: printSegment: Medical Entrance Examination Questions
   DEBUG: 2024-11-15 08:16:27,858:      pdf_renderer.py:  470: printSegment: Q1. Bone marrow density 2 SD below the reference level is labeled as:
   DEBUG: 2024-11-15 08:16:27,861:      pdf_renderer.py:  470: printSegment: a. Normal level
   DEBUG: 2024-11-15 08:16:27,864:      pdf_renderer.py:  470: printSegment: b. Low bone mass
   DEBUG: 2024-11-15 08:16:27,866:      pdf_renderer.py:  470: printSegment: c. Osteoporosis
   DEBUG: 2024-11-15 08:16:27,866:      pdf_renderer.py:  470: printSegment: d. Severe osteoporosis
   DEBUG: 2024-11-15 08:16:27,868:      pdf_renderer.py:  470: printSegment: Q2. Which of the following joint is rarely involved in SLE?
   DEBUG: 2024-11-15 08:16:27,869:      pdf_renderer.py:  470: printSegment: a. PIP joints
   DEBUG: 2024-11-15 08:16:27,869:      pdf_renderer.py:  470: printSegment: b. Carpal joints
   DEBUG: 2024-11-15 08:16:27,870:      pdf_renderer.py:  470: printSegment: c. Knee joints
   DEBUG: 2024-11-15 08:16:27,871:      pdf_renderer.py:  470: printSegment: d. Sacroiliac joints
   DEBUG: 2024-11-15 08:16:27,872:      pdf_renderer.py:  470: printSegment: Q3. The term 
   DEBUG: 2024-11-15 08:16:27,872:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2024-11-15 08:16:27,873:      pdf_renderer.py:  470: printSegment: Large vessels
   DEBUG: 2024-11-15 08:16:27,873:      pdf_renderer.py:  470: printSegment: "
   DEBUG: 2024-11-15 08:16:27,874:      pdf_renderer.py:  470: printSegment:  in large vessel vasculitis indicates:
   DEBUG: 2024-11-15 08:16:27,875:      pdf_renderer.py:  470: printSegment: a. Arteries arising from arch of aorta
   DEBUG: 2024-11-15 08:16:27,876:      pdf_renderer.py:  470: printSegment: b. Arteries directly arising from any part of aorta
   DEBUG: 2024-11-15 08:16:27,877:      pdf_renderer.py:  470: printSegment: c. Arteries of size (diameter) more than 5 cm
   DEBUG: 2024-11-15 08:16:27,878:      pdf_renderer.py:  470: printSegment: d. Arteries supplying the main viscera
   DEBUG: 2024-11-15 08:16:27,879:      pdf_renderer.py:  470: printSegment: Q4. The most commonly used drug in sarcoidosis is:
   DEBUG: 2024-11-15 08:16:27,880:      pdf_renderer.py:  470: printSegment: a. Methotrexate
   DEBUG: 2024-11-15 08:16:27,881:      pdf_renderer.py:  470: printSegment: b. Azathioprine
   DEBUG: 2024-11-15 08:16:27,882:      pdf_renderer.py:  470: printSegment: c. Steroid
   DEBUG: 2024-11-15 08:16:27,882:      pdf_renderer.py:  470: printSegment: d. NSAIDS
   DEBUG: 2024-11-15 08:16:27,983:      pdf_renderer.py:  470: printSegment: Q5. A 45 years old male presented with jaundice and ascites. On evaluation, his serum bilirubin was 2.1
   DEBUG: 2024-11-15 08:16:28,050:      pdf_renderer.py:  470: printSegment: mg/dl, serum 5. A 45 years old male presented with jaundice and ascites. On evaluation, his serum bilirubin
   DEBUG: 2024-11-15 08:16:28,087:      pdf_renderer.py:  470: printSegment: was 2.1 mg/dl, serum 5. A 45 years old male presented with jaundice and ascites. On evaluation, his serum
   DEBUG: 2024-11-15 08:16:28,104:      pdf_renderer.py:  470: printSegment: bilirubin was 2.1 mg/dl, serum albumin was 3.4 g/dl, INR was 1.8,had controlled albumin was 3.4 g/dl, INR
   DEBUG: 2024-11-15 08:16:28,108:      pdf_renderer.py:  470: printSegment: was 1.8,had controlled ascites and minimal HE. His Child Pugh class would beascites and minimal HE. His
